locationid,applicant,facility,cnn,descriptio,address,block_lot,block,lot,permit,status,food_items,x,y,latitude,longitude,schedule,days_hours,approved,received,priorpermi,exp_date,location
828062,Roadside Rotisserie Corporation / Country Grill,Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 POST ST,311015,311,15,15MFF-0156,APPROVED,Rotisserie chicken: pork loin: ribs: chicken salad wrap: potatoes: roasted seasonal vegetables kale salad: beverages.,6011921.732,2115262.393,37.78877872,-122.4025746,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0156&ExportPDF=1&Filename=15MFF-0156_schedule.pdf,Tu/Th/Fr:6PM-8PM,7/6/2016 0:00:00,11/30/2015,0,3/15/2017 0:00:00,"(37.788778723378, -122.402574568411)"
809080,Eli's Hot Dogs,Push Cart,7504000,JERROLD AVE: BARNEVELD AVE to END (2351 - 2369),101 BAY SHORE BLVD,5559018,5559,18,16MFF-0125,APPROVED,various styles of hot dogs & sausages: chips: breakfast sandwiches: chili: soda: water:,6011376.107,2100039.012,37.7469483,-122.403391,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0125&ExportPDF=1&Filename=16MFF-0125_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-5PM,5/23/2016 0:00:00,5/23/2016,1,3/15/2017 0:00:00,"(37.7469482955131, -122.403390960313)"
803884,Let's Be Frank,Push Cart,8393001,LINDEN ST: GOUGH ST to OCTAVIA ST (300 - 399),404 OCTAVIA ST,817033,817,33,16MFF-0120,APPROVED,Hot dogs and chili,6005585.672,2110752.197,37.77603906,-122.4241756,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0120&ExportPDF=1&Filename=16MFF-0120_schedule.pdf,Fr:11AM-5PM,5/17/2016 0:00:00,5/17/2016,0,3/15/2017 0:00:00,"(37.7760390626659, -122.424175571492)"
803883,Let's Be Frank,Push Cart,6816000,HAYES ST: GOUGH ST to OCTAVIA ST (400 - 499),425 HAYES ST,817025,817,25,16MFF-0120,APPROVED,Hot dogs and chili,6005815.064,2110939.717,37.7765669,-122.4233954,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0120&ExportPDF=1&Filename=16MFF-0120_schedule.pdf,Su/We:11AM-5PM,5/17/2016 0:00:00,5/17/2016,0,3/15/2017 0:00:00,"(37.7765668965195, -122.423395376727)"
802221,El Tonayense #60,Truck,6746000,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),401 TREAT AVE,3573023,3573,23,16MFF-0119,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Drinks,6008587.223,2105981.305,37.76310833,-122.4134549,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0119&ExportPDF=1&Filename=16MFF-0119_schedule.pdf,Mo-Su:10AM-4PM,5/11/2016 0:00:00,5/11/2016,1,3/15/2017 0:00:00,"(37.7631083253767, -122.413454890022)"
801895,La Jefa,Truck,2801102,BAY SHORE BLVD: WATERLOO ST to MARENGO ST (501 - 559) -- EAST --,531 BAY SHORE BLVD,5607038,5607,38,16MFF-0118,APPROVED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,6010348.157,2097065.717,37.7387268,-122.406736,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0118&ExportPDF=1&Filename=16MFF-0118_schedule.pdf,Mo-Su:7AM-8PM,5/10/2016 0:00:00,5/10/2016,0,3/15/2017 0:00:00,"(37.7387268039871, -122.406736029905)"
801882,"Santana ESG, Inc.",Truck,11834000,SHOTWELL ST: 16TH ST to 17TH ST (200 - 299),200 SHOTWELL ST,3571014,3571,14,16MFF-0116,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,6007701.412,2106595.633,37.76474535,-122.4165621,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0116&ExportPDF=1&Filename=16MFF-0116_schedule.pdf,Sa-Su:10AM-6PM;Mo-Fr:10AM-10PM,,5/10/2016,1,3/15/2017 0:00:00,"(37.7647453507195, -122.41656213947)"
801865,"Santana ESG, Inc.",Truck,11542000,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,289003,289,3,16MFF-0115,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,6012406.465,2115874.016,37.79048515,-122.4009404,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0115&ExportPDF=1&Filename=16MFF-0115_schedule.pdf,Mo-Fr:11AM-3PM,5/10/2016 0:00:00,5/10/2016,1,3/15/2017 0:00:00,"(37.790485146128, -122.40094044069)"
801849,Tacos El Ojo De Agua,Truck,177000,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,16MFF-0114,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.78064721,-122.3946292,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0114&ExportPDF=1&Filename=16MFF-0114_schedule.pdf,Mo-Fr:9AM-4PM,5/10/2016 0:00:00,5/10/2016,0,3/15/2017 0:00:00,"(37.7806472100484, -122.394629181662)"
801800,"Kabob Trolley, LLC",Push Cart,267001,04TH ST: TOWNSEND ST to KING ST (700 - 799),298 KING ST,8702606,8702,606,16MFF-0113,APPROVED,Gyros: Kebobs: refreshments and dessert,6014485.063,2111154.518,37.77764221,-122.3934181,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0113&ExportPDF=1&Filename=16MFF-0113_schedule.pdf,Mo-Su:10AM-8PM,5/10/2016 0:00:00,5/10/2016,0,3/15/2017 0:00:00,"(37.77764220851, -122.393418145932)"
801089,Mob Dog,Push Cart,8745201,MARKET ST: 03RD ST \ KEARNY ST to GRANT AVE \ OFARRELL ST (700 - 748) -- NORTH --,720 MARKET ST,312004,312,4,16MFF-0112,APPROVED,Hot Dogs: Chips: Bottled Drinks,6011475.041,2114841.614,37.78759842,-122.4040904,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0112&ExportPDF=1&Filename=16MFF-0112_schedule.pdf,Th/Fr/Sa:8AM-10PM,5/6/2016 0:00:00,5/6/2016,0,3/15/2017 0:00:00,"(37.7875984155546, -122.404090439434)"
800995,May Catering,Truck,5329000,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1059 EVANS AVE,4603A005,4603A,5,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6018579.482,2096114.542,37.73657218,-122.3782097,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:10AM-11AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7365721824187, -122.378209667202)"
800994,May Catering,Truck,8234000,LE CONTE AVE: 03RD ST to KEITH ST (1039 - 1099),1075 LE CONTE AVE,5476009,5476,9,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012695.887,2089756.429,37.71878808,-122.398106,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:10AM-11AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7187880790201, -122.39810598775)"
800993,May Catering,Truck,8715000,MARIPOSA ST: 04TH ST \ MINNESOTA ST to INDIANA ST (700 - 799),777 MARIPOSA ST,3997004,3997,4,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015005.349,2106106.834,37.76381128,-122.3912654,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:9AM-10AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7638112772906, -122.391265350599)"
800992,May Catering,Truck,19984000,04TH ST: CHINA BASIN ST to MISSION BAY BLVD (1300 - 1399),1322 04TH ST,1758 035,1758,35,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,5994967.667,2106540.921,37.76387076,-122.4606006,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:9AM-10AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7638707601661, -122.460600563879)"
800990,May Catering,Truck,0,,Assessors Block 8710/Lot003,8710003,8710,3,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6014416.532,2108607.696,37.7706454,-122.3934769,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo/Mo/Mo/Mo/Mo:9AM-10AM/10AM-11AM/12PM-1PM/1PM-2PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7706453983908, -122.3934769372)"
800989,May Catering,Truck,6805000,HAWES ST: INGERSON AVE to JAMESTOWN AVE (2900 - 2999),2930 HAWES ST,4971022,4971,22,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6014554.034,2089351.467,37.71777945,-122.3916548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Su:10AM-11AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.717779453627, -122.391654765179)"
800988,May Catering,Truck,12775000,ULLOA ST: WOODSIDE AVE to SYDNEY WAY (1 - 56),2 ULLOA ST,2914001,2914,1,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,5996669.215,2099864.483,37.74563668,-122.4542332,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Su:9AM-10AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7456366838808, -122.454233188657)"
800987,May Catering,Truck,7428000,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),800 JAMESTOWN AVE,4973034,4973,34,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015040.705,2088854.908,37.716443,-122.3899379,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Su:9AM-10AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7164430021474, -122.389937879321)"
800986,May Catering,Truck,9053000,MINNESOTA ST: 04TH ST \ MARIPOSA ST to 18TH ST (500 - 599),535 MINNESOTA ST,3996016,3996,16,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015237.97,2106058.282,37.76369087,-122.3904574,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:12PM-1PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.763690871096, -122.390457386016)"
800985,May Catering,Truck,9050000,MINNA ST: 10TH ST to 11TH ST (900 - 999),911 MINNA ST,3510043,3510,43,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6008034.46,2110104.285,37.77439801,-122.4156587,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:8PM-9PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7743980109403, -122.415658655811)"
800984,May Catering,Truck,5372103,EXECUTIVE PARK BLVD: CANDLESTICK COVE WAY to SANDPIPER COVE WAY \ THOMAS MELLON DR (138 - 198),150 EXECUTIVE PARK BLVD,4991086,4991,86,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013956.743,2086835.501,37.71083793,-122.3935434,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:7PM-8PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.710837931141, -122.393543363013)"
800983,May Catering,Truck,9086000,MISSION ST: BEALE ST to FREMONT ST (300 - 399),350 MISSION ST,3710017,3710,17,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013638.57,2115994.808,37.79088546,-122.3966859,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:6PM-7PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7908854635019, -122.396685875811)"
800982,May Catering,Truck,2953000,BERRY ST: 03RD ST to 04TH ST (100 - 199),185 BERRY ST,3803005,3803,5,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6014943.869,2110666.298,37.77632715,-122.3917968,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:6PM-7PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7763271477899, -122.391796821077)"
800981,May Catering,Truck,4909000,DONNER AVE: END to 03RD ST (1600 - 1699),1600 DONNER AVE,4881023,4881,23,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6014214.714,2091627.121,37.72400911,-122.3929868,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:4PM-5PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7240091065402, -122.392986782578)"
800980,May Catering,Truck,517000,BRYANT ST: 11TH ST \ 13TH ST \ DIVISION ST to DIVISION ST (1300 - 1319),1300 BRYANT ST,3903004,3903,4,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6009188.668,2108146.472,37.76908713,-122.4115277,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:3PM-4PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7690871267671, -122.411527667132)"
800979,May Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2090 EVANS AVE,4347A003,4347A,3,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013578.614,2100360.923,37.74795496,-122.3957974,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:3PM-4PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7479549645678, -122.395797384916)"
800978,May Catering,Truck,10659000,POTRERO AVE: ALAMEDA ST to 15TH ST (100 - 199),100 POTRERO AVE,3920001,3920,1,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6010116.912,2107759.235,37.76807589,-122.4082896,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:2PM-3PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7680758859527, -122.408289595287)"
800977,May Catering,Truck,13693000,WISCONSIN ST: 16TH ST to 17TH ST (100 - 199),166 WISCONSIN ST,3954017,3954,17,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012435.699,2106749.834,37.76543387,-122.4001982,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:2PM-3PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7654338684827, -122.400198205294)"
800976,May Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2300 CESAR CHAVEZ ST,4328A007,4328A,7,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012256.828,2101112.599,37.74994529,-122.4004209,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:1PM-2PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7499452857571, -122.400420884438)"
800975,May Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2400 CESAR CHAVEZ ST,4328A005,4328A,5,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012051.606,2101106.273,37.74991647,-122.4011301,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:6AM-7AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.749916469391, -122.401130112212)"
800974,May Catering,Truck,3887000,CHANNEL ST: 03RD ST to 04TH ST (0 - 0),Assessors Block 8711/Lot023,8711023,8711,23,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015253.35,2109839.763,37.77407484,-122.3906685,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo/Mo/Mo/Mo/Mo:9AM-10AM/10AM-11AM/12PM-1PM/1PM-2PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7740748410583, -122.390668458146)"
800973,May Catering,Truck,3889000,CHANNEL ST: END to END (0 - 0),Assessors Block 3810/Lot008,3810008,3810,8,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013705.031,2109129.688,37.77203911,-122.3959746,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo/Mo/Mo/Mo/Mo:9AM-10AM/10AM-11AM/12PM-1PM/1PM-2PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.772039113525, -122.395974631586)"
800972,May Catering,Truck,792000,17TH ST: TREAT AVE to FOLSOM ST (3025 - 3099),3030 17TH ST,3572005,3572,5,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6008506.685,2106321.603,37.76403818,-122.4137575,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:12PM-1PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7640381828174, -122.413757516589)"
800971,May Catering,Truck,1259000,23RD ST: HARRISON ST to TREAT AVE (3000 - 3053),3050 23RD ST,3639004B,3639,004B,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6008696.252,2102835.373,37.75447643,-122.4128554,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:12PM-1PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7544764341075, -122.412855363284)"
800970,May Catering,Truck,718000,16TH ST: FLORIDA ST to ALABAMA ST (2500 - 2599),2500 16TH ST,3927004,3927,4,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6009037.016,2106959.859,37.76582045,-122.4119684,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:12PM-1PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7658204544832, -122.411968357912)"
800969,May Catering,Truck,9503000,NAPOLEON ST: SELBY ST to EVANS AVE \ TOLAND ST (1 - 98),Assessors Block 4347a/Lot004,4347a004,4347a,4,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013931.08,2100313.063,37.74784315,-122.3945752,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo/Mo/Mo/Mo/Mo:9AM-10AM/10AM-11AM/12PM-1PM/1PM-2PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7478431533724, -122.394575214957)"
800968,May Catering,Truck,702000,16TH ST: DAGGETT ST \ MISSOURI ST to CONNECTICUT ST (1000 - 1099),1006 16TH ST,3833002,3833,2,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013316.557,2107189.386,37.76668986,-122.3971823,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:12PM-1PM/1PM-2PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7666898573867, -122.39718232278)"
800966,May Catering,Truck,6751000,HARRISON ST: 19TH ST to MISTRAL ST (2301 - 2360),2301 HARRISON ST,4083008,4083,8,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6008876.646,2104879.645,37.76009967,-122.412376,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:11AM-12PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7600996654893, -122.412375997322)"
800965,May Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2800 03RD ST,4246001,4246,1,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015771.139,2102415.24,37.75371742,-122.388359,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:11AM-12PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7537174169021, -122.388359021044)"
800964,May Catering,Truck,9504000,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),180 NAPOLEON ST,4343004,4343,4,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012688.941,2100244.688,37.74758628,-122.3988657,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:9AM-10AM/11AM-12PM/2PM-3PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7475862762565, -122.398865700796)"
800963,May Catering,Truck,1520000,26TH ST: SHOTWELL ST to VIRGIL ST (3251 - 3273),3251 26TH ST,6572001,6572,1,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6008228.38,2100763.823,37.74876215,-122.4143268,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:11AM-12PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7487621514792, -122.414326828755)"
800962,May Catering,Truck,191101,03RD ST: 22ND ST to 23RD ST (2501 - 2699) -- EAST --,2565 03RD ST,4173001,4173,1,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015998.409,2103503.194,37.7567173,-122.387649,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:11AM-12PM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7567172998371, -122.387648962993)"
800961,May Catering,Truck,2111000,ALABAMA ST: MARIPOSA ST to 18TH ST (500 - 599),501 ALABAMA ST,4018005,4018,5,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6009055.309,2105741.745,37.76247682,-122.411819,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:10AM-11AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.762476819591, -122.411819003679)"
800960,May Catering,Truck,5690000,FOLSOM ST: 16TH ST to ENTERPRISE ST (2000 - 2035),2000 FOLSOM ST,3571001,3571,1,16MFF-0111,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6008008.225,2106691.986,37.76502716,-122.4155078,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0111&ExportPDF=1&Filename=16MFF-0111_schedule.pdf,Mo-Fr:10AM-11AM,5/6/2016 0:00:00,5/6/2016,1,3/15/2017 0:00:00,"(37.7650271638822, -122.41550777249)"
